survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,fare_caped,family_size,is_alone
0,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,no,False,8.901,2,0
1,1,female,38.0,1,0,71.2833,C,First,woman,False,Cherbourg,yes,False,-23.776049999999998,2,0
1,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,7.9031,1,1
1,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,yes,False,-14.684400000000004,2,0
0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,no,True,7.8406,1,1
0,3,male,29.69911764705882,0,0,8.4583,Q,Third,man,True,Queenstown,no,True,7.63645,1,1
0,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,no,True,-14.06564999999999,1,1
0,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,no,False,1.3280999999999992,5,0
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,yes,False,6.29895,3,0
1,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,yes,False,-3.169800000000002,2,0
1,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,yes,False,3.515599999999999,3,0
1,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,yes,True,-1.4094000000000015,1,1
0,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,no,True,7.8406,1,1
0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,no,False,-3.7719000000000023,7,0
0,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,no,True,7.994700000000001,1,1
1,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,yes,True,3.865599999999999,1,1
0,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,-2.6968999999999994,6,0
1,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,Southampton,yes,True,5.365600000000001,1,1
0,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,no,False,2.865599999999999,2,0
1,3,female,29.69911764705882,0,0,7.225,C,Third,woman,False,Cherbourg,yes,True,8.938500000000001,1,1
0,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,no,True,-1.1343999999999994,1,1
1,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,5.365600000000001,1,1
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,yes,True,7.851000000000001,1,1
1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True,-5.884399999999999,1,1
0,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,no,False,1.3280999999999992,5,0
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,yes,False,-3.8281499999999973,7,0
0,3,male,29.69911764705882,0,0,7.225,C,Third,man,True,Cherbourg,no,True,8.938500000000001,1,1
0,1,male,19.0,3,2,263.0,S,First,man,True,Southampton,no,False,-119.63439999999997,6,0
1,3,female,29.69911764705882,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,7.9572,1,1
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,Southampton,no,True,7.9323,1,1
0,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,-1.9948000000000015,1,1
1,1,female,29.69911764705882,1,0,146.5208,C,First,woman,False,Cherbourg,yes,False,-61.394799999999975,2,0
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,8.151,1,1
0,2,male,66.0,0,0,10.5,S,Second,man,True,Southampton,no,True,6.615600000000001,1,1
0,1,male,28.0,1,0,82.1708,C,First,man,True,Cherbourg,no,False,-29.219800000000006,2,0
0,1,male,42.0,1,0,52.0,S,First,man,True,Southampton,no,False,-14.1344,2,0
1,3,male,29.69911764705882,0,0,7.2292,C,Third,man,True,Cherbourg,yes,True,8.932200000000002,1,1
0,3,male,21.0,0,0,8.05,S,Third,man,True,Southampton,no,True,7.8406,1,1
0,3,female,18.0,2,0,18.0,S,Third,woman,False,Southampton,no,False,2.865599999999999,3,0
1,3,female,14.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,6.24475,2,0
0,3,female,40.0,1,0,9.475,S,Third,woman,False,Southampton,no,False,7.1281,2,0
0,2,female,27.0,1,0,21.0,S,Second,woman,False,Southampton,no,False,1.3656000000000006,2,0
0,3,male,29.69911764705882,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,7.9323,1,1
1,2,female,3.0,1,2,41.5792,C,Second,child,False,Cherbourg,yes,False,-8.923999999999992,4,0
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,7.9572,1,1
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,Southampton,no,True,7.8406,1,1
0,3,male,29.69911764705882,1,0,15.5,Q,Third,man,True,Queenstown,no,False,4.115600000000001,2,0
1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,8.151,1,1
0,3,male,29.69911764705882,2,0,21.6792,C,Third,man,True,Cherbourg,no,False,1.0259999999999962,3,0
0,3,female,18.0,1,0,17.8,S,Third,woman,False,Southampton,no,False,2.9655999999999985,2,0
0,3,male,7.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,-7.978149999999999,6,0
0,3,male,21.0,0,0,7.8,S,Third,man,True,Southampton,no,True,8.076,1,1
1,1,female,49.0,1,0,76.7292,C,First,woman,False,Cherbourg,yes,False,-26.49900000000001,2,0
1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,-1.1343999999999994,2,0
0,1,male,65.0,0,1,61.9792,C,First,man,True,Cherbourg,no,False,-19.123999999999988,2,0
1,1,male,29.69911764705882,0,0,35.5,S,First,man,True,Southampton,yes,True,-5.884399999999999,1,1
1,2,female,21.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,6.615600000000001,1,1
0,3,male,28.5,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,8.932200000000002,1,1
1,2,female,5.0,1,2,27.75,S,Second,child,False,Southampton,yes,False,-2.0093999999999994,4,0
0,3,male,11.0,5,2,46.9,S,Third,child,False,Southampton,no,False,-11.584399999999995,8,0
0,3,male,22.0,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,8.932200000000002,1,1
1,1,female,38.0,0,0,80.0,S,First,woman,False,,yes,True,-28.1344,1,1
0,1,male,45.0,1,0,83.475,S,First,man,True,Southampton,no,False,-29.87190000000001,2,0
0,3,male,4.0,3,2,27.9,S,Third,child,False,Southampton,no,False,-2.0844000000000023,6,0
0,1,male,29.69911764705882,0,0,27.7208,C,First,man,True,Cherbourg,no,True,-1.9948000000000015,1,1
1,3,male,29.69911764705882,1,1,15.2458,C,Third,man,True,Cherbourg,yes,False,4.242700000000001,3,0
1,2,female,29.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,6.615600000000001,1,1
0,3,male,19.0,0,0,8.1583,S,Third,man,True,Southampton,no,True,7.78645,1,1
1,3,female,17.0,4,2,7.925,S,Third,woman,False,Southampton,yes,False,7.9031,7,0
0,3,male,26.0,2,0,8.6625,S,Third,man,True,Southampton,no,False,7.53435,3,0
0,2,male,32.0,0,0,10.5,S,Second,man,True,Southampton,no,True,6.615600000000001,1,1
0,3,female,16.0,5,2,46.9,S,Third,woman,False,Southampton,no,False,-11.584399999999995,8,0
0,2,male,21.0,0,0,73.5,S,Second,man,True,Southampton,no,True,-24.8844,1,1
0,3,male,26.0,1,0,14.4542,C,Third,man,True,Cherbourg,no,False,4.6385000000000005,2,0
1,3,male,32.0,0,0,56.4958,S,Third,man,True,Southampton,yes,True,-16.3823,1,1
0,3,male,25.0,0,0,7.65,S,Third,man,True,Southampton,no,True,8.301,1,1
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,Southampton,no,True,7.9323,1,1
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,Southampton,no,True,7.8406,1,1
1,2,male,0.83,0,2,29.0,S,Second,child,False,Southampton,yes,False,-2.6343999999999994,3,0
1,3,female,30.0,0,0,12.475,S,Third,woman,False,Southampton,yes,True,5.6281,1,1
0,3,male,22.0,0,0,9.0,S,Third,man,True,Southampton,no,True,7.365600000000001,1,1
1,3,male,29.0,0,0,9.5,S,Third,man,True,Southampton,yes,True,7.115600000000001,1,1
1,3,female,29.69911764705882,0,0,7.7875,Q,Third,woman,False,Queenstown,yes,True,8.094750000000001,1,1
0,1,male,28.0,0,0,47.1,S,First,man,True,Southampton,no,True,-11.684399999999997,1,1
1,2,female,17.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,6.615600000000001,1,1
1,3,female,33.0,3,0,15.85,S,Third,woman,False,Southampton,yes,False,3.9406,4,0
0,3,male,16.0,1,3,34.375,S,Third,man,True,Southampton,no,False,-5.321899999999999,5,0
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,Southampton,no,True,7.8406,1,1
1,1,female,23.0,3,2,263.0,S,First,woman,False,Southampton,yes,False,-119.63439999999997,6,0
0,3,male,24.0,0,0,8.05,S,Third,man,True,Southampton,no,True,7.8406,1,1
0,3,male,29.0,0,0,8.05,S,Third,man,True,Southampton,no,True,7.8406,1,1
0,3,male,20.0,0,0,7.8542,S,Third,man,True,Southampton,no,True,7.994700000000001,1,1
0,1,male,46.0,1,0,61.175,S,First,man,True,Southampton,no,False,-18.72189999999999,2,0
0,3,male,26.0,1,2,20.575,S,Third,man,True,Southampton,no,False,1.5780999999999992,4,0
0,3,male,59.0,0,0,7.25,S,Third,man,True,Southampton,no,True,8.901,1,1
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,Southampton,no,True,7.8406,1,1
0,1,male,71.0,0,0,34.6542,C,First,man,True,Cherbourg,no,True,-5.461500000000001,1,1
1,1,male,23.0,0,1,63.3583,C,First,man,True,Cherbourg,yes,False,-19.813549999999992,2,0
1,2,female,34.0,0,1,23.0,S,Second,woman,False,Southampton,yes,False,0.3656000000000006,2,0
0,2,male,34.0,1,0,26.0,S,Second,man,True,Southampton,no,False,-1.1343999999999994,2,0
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,Southampton,no,True,7.9323,1,1
0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,Southampton,no,True,7.9323,1,1
0,1,male,21.0,0,1,77.2875,S,First,man,True,Southampton,no,False,-26.77815000000001,2,0
0,3,male,33.0,0,0,8.6542,S,Third,man,True,Southampton,no,True,7.538500000000001,1,1
0,3,male,37.0,2,0,7.925,S,Third,man,True,Southampton,no,False,7.9031,3,0
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,7.9323,1,1
1,3,female,21.0,0,0,7.65,S,Third,woman,False,Southampton,yes,True,8.301,1,1
1,3,male,29.69911764705882,0,0,7.775,S,Third,man,True,Southampton,yes,True,8.1135,1,1
0,3,male,38.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,7.9323,1,1
1,3,female,29.69911764705882,1,0,24.15,Q,Third,woman,False,Queenstown,yes,False,-0.20940000000000225,2,0
0,1,male,47.0,0,0,52.0,S,First,man,True,Southampton,no,True,-14.1344,1,1
0,3,female,14.5,1,0,14.4542,C,Third,child,False,Cherbourg,no,False,4.6385000000000005,2,0
0,3,male,22.0,0,0,8.05,S,Third,man,True,Southampton,no,True,7.8406,1,1
0,3,female,20.0,1,0,9.825,S,Third,woman,False,Southampton,no,False,6.953100000000001,2,0
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,Cherbourg,no,True,4.63645,1,1
0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True,7.9031,1,1
0,3,male,70.5,0,0,7.75,Q,Third,man,True,Queenstown,no,True,8.151,1,1
0,2,male,29.0,1,0,21.0,S,Second,man,True,Southampton,no,False,1.3656000000000006,2,0
0,1,male,24.0,0,1,247.5208,C,First,man,True,Cherbourg,no,False,-111.89479999999998,2,0
0,3,female,2.0,4,2,31.275,S,Third,child,False,Southampton,no,False,-3.7719000000000023,7,0
0,2,male,21.0,2,0,73.5,S,Second,man,True,Southampton,no,False,-24.8844,3,0
0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,Southampton,no,True,7.8406,1,1
0,2,male,32.5,1,0,30.0708,C,Second,man,True,Cherbourg,no,False,-3.169800000000002,2,0
1,2,female,32.5,0,0,13.0,S,Second,woman,False,Southampton,yes,True,5.365600000000001,1,1
0,1,male,54.0,0,1,77.2875,S,First,man,True,Southampton,no,False,-26.77815000000001,2,0
1,3,male,12.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,6.24475,2,0
0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,Queenstown,no,True,8.151,1,1
1,3,male,24.0,0,0,7.1417,S,Third,man,True,Southampton,yes,True,9.06345,1,1
1,3,female,29.69911764705882,1,1,22.3583,C,Third,woman,False,Cherbourg,yes,False,0.6864500000000007,3,0
0,3,male,45.0,0,0,6.975,S,Third,man,True,Southampton,no,True,9.313500000000001,1,1
0,3,male,33.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,7.9323,1,1
0,3,male,20.0,0,0,7.05,S,Third,man,True,Southampton,no,True,9.201,1,1
0,3,female,47.0,1,0,14.5,S,Third,woman,False,Southampton,no,False,4.615600000000001,2,0
1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,-1.1343999999999994,2,0
0,2,male,25.0,0,0,13.0,S,Second,man,True,Southampton,no,True,5.365600000000001,1,1
0,2,male,23.0,0,0,15.0458,C,Second,man,True,Cherbourg,no,True,4.342700000000001,1,1
1,1,female,19.0,0,2,26.2833,S,First,woman,False,Southampton,yes,False,-1.2760500000000015,3,0
0,1,male,37.0,1,0,53.1,S,First,man,True,Southampton,no,False,-14.684400000000004,2,0
0,3,male,16.0,0,0,9.2167,S,Third,man,True,Southampton,no,True,7.257250000000001,1,1
0,1,male,24.0,0,0,79.2,C,First,man,True,Cherbourg,no,True,-27.734400000000008,1,1
0,3,female,29.69911764705882,0,2,15.2458,C,Third,woman,False,Cherbourg,no,False,4.242700000000001,3,0
1,3,female,22.0,0,0,7.75,S,Third,woman,False,Southampton,yes,True,8.151,1,1
1,3,female,24.0,1,0,15.85,S,Third,woman,False,Southampton,yes,False,3.9406,2,0
0,3,male,19.0,0,0,6.75,Q,Third,man,True,Queenstown,no,True,9.651,1,1
0,2,male,18.0,0,0,11.5,S,Second,man,True,Southampton,no,True,6.115600000000001,1,1
0,2,male,19.0,1,1,36.75,S,Second,man,True,Southampton,no,False,-6.509399999999999,3,0
1,3,male,27.0,0,0,7.7958,S,Third,man,True,Southampton,yes,True,8.0823,1,1
0,3,female,9.0,2,2,34.375,S,Third,child,False,Southampton,no,False,-5.321899999999999,5,0
0,2,male,36.5,0,2,26.0,S,Second,man,True,Southampton,no,False,-1.1343999999999994,3,0
0,2,male,42.0,0,0,13.0,S,Second,man,True,Southampton,no,True,5.365600000000001,1,1
0,2,male,51.0,0,0,12.525,S,Second,man,True,Southampton,no,True,5.6030999999999995,1,1
1,1,female,22.0,1,0,66.6,S,First,woman,False,Southampton,yes,False,-21.434399999999997,2,0
0,3,male,55.5,0,0,8.05,S,Third,man,True,Southampton,no,True,7.8406,1,1
0,3,male,40.5,0,2,14.5,S,Third,man,True,Southampton,no,False,4.615600000000001,3,0
0,3,male,29.69911764705882,0,0,7.3125,S,Third,man,True,Southampton,no,True,8.80725,1,1
0,1,male,51.0,0,1,61.3792,C,First,man,True,Cherbourg,no,False,-18.823999999999998,2,0
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,Queenstown,yes,True,8.17605,1,1
0,3,male,30.0,0,0,8.05,S,Third,man,True,Southampton,no,True,7.8406,1,1
0,3,male,29.69911764705882,0,0,8.6625,S,Third,man,True,Southampton,no,True,7.53435,1,1
0,3,male,29.69911764705882,8,2,69.55,S,Third,man,True,Southampton,no,False,-22.90939999999999,11,0
0,3,male,44.0,0,1,16.1,S,Third,man,True,Southampton,no,False,3.815599999999998,2,0
1,2,female,40.0,0,0,15.75,S,Second,woman,False,Southampton,yes,True,3.9906000000000006,1,1
0,3,male,26.0,0,0,7.775,S,Third,man,True,Southampton,no,True,8.1135,1,1
0,3,male,17.0,0,0,8.6625,S,Third,man,True,Southampton,no,True,7.53435,1,1
0,3,male,1.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,-7.978149999999999,6,0
1,3,male,9.0,0,2,20.525,S,Third,child,False,Southampton,yes,False,1.6030999999999977,3,0
