Gender,Married,Education,ApplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status
Male,Yes,Not Graduate,3970,285,1,Urban,Rejected
Female,Yes,Graduate,10389,489,1,Urban,Approved
Male,Yes,Graduate,19586,141,1,Semiurban,Approved
Male,No,Graduate,17374,70,1,Rural,Approved
Male,Yes,Graduate,7788,352,1,Rural,Approved
Female,Yes,Graduate,7408,406,1,Semiurban,Approved
Male,No,Not Graduate,11446,492,1,Urban,Approved
Male,Yes,Graduate,2922,133,1,Urban,Rejected
Male,No,Not Graduate,2419,311,0,Rural,Rejected
Female,No,Not Graduate,12789,196,1,Urban,Approved
Male,Yes,Graduate,3120,490,1,Semiurban,Rejected
Male,No,Graduate,13260,436,1,Semiurban,Approved
Male,Yes,Not Graduate,19334,306,0,Rural,Rejected
Male,No,Graduate,4336,107,1,Semiurban,Approved
Female,No,Graduate,7373,429,0,Semiurban,Rejected
Male,Yes,Not Graduate,4243,471,0,Rural,Rejected
Female,No,Not Graduate,6612,64,1,Semiurban,Approved
Female,No,Graduate,15946,211,1,Semiurban,Approved
Female,No,Not Graduate,13104,494,1,Semiurban,Approved
Male,No,Graduate,15429,212,1,Urban,Approved
Female,No,Graduate,8371,369,1,Rural,Approved
Male,Yes,Graduate,8359,330,1,Rural,Approved
Female,No,Not Graduate,9863,329,0,Rural,Rejected
Female,Yes,Not Graduate,5228,61,1,Urban,Approved
Female,No,Not Graduate,16382,323,1,Urban,Approved
Female,Yes,Not Graduate,4891,320,1,Rural,Approved
Female,Yes,Not Graduate,5756,257,1,Urban,Approved
Female,No,Graduate,17770,76,1,Rural,Approved
Female,No,Graduate,18478,121,0,Urban,Rejected
Female,No,Graduate,4674,109,1,Semiurban,Approved
Male,Yes,Graduate,8898,479,1,Semiurban,Approved
Male,No,Not Graduate,12147,194,0,Rural,Rejected
Female,Yes,Graduate,2793,142,1,Urban,Rejected
Female,Yes,Not Graduate,4116,358,1,Urban,Approved
Female,Yes,Graduate,7779,57,0,Semiurban,Rejected
Male,No,Not Graduate,14298,128,1,Semiurban,Approved
Female,No,Not Graduate,16153,76,1,Urban,Approved
Male,Yes,Graduate,13111,223,0,Urban,Rejected
Male,Yes,Graduate,12789,99,1,Urban,Approved
Male,No,Graduate,13397,248,1,Urban,Approved
Male,Yes,Graduate,14999,436,1,Urban,Approved
Male,No,Not Graduate,2814,398,0,Urban,Rejected
Female,Yes,Graduate,18729,497,0,Rural,Rejected
Female,No,Graduate,12541,477,1,Urban,Approved
Female,Yes,Not Graduate,4443,230,1,Semiurban,Approved
Female,No,Graduate,12457,73,1,Rural,Approved
Female,Yes,Graduate,12380,365,1,Urban,Approved
Male,No,Graduate,9783,427,1,Semiurban,Approved
Female,No,Graduate,13473,436,0,Rural,Rejected
Female,Yes,Graduate,19368,453,1,Semiurban,Approved
Male,Yes,Not Graduate,17328,95,1,Urban,Approved
Female,No,Graduate,2827,64,1,Urban,Rejected
Male,Yes,Graduate,9147,202,1,Urban,Approved
Female,No,Graduate,6451,271,1,Urban,Approved
Male,Yes,Graduate,17343,255,1,Rural,Approved
Female,No,Graduate,15635,322,1,Rural,Approved
Female,No,Not Graduate,7959,431,1,Semiurban,Approved
Male,No,Graduate,2126,285,1,Urban,Rejected
Male,No,Not Graduate,10795,389,1,Semiurban,Approved
Male,No,Not Graduate,13641,277,1,Rural,Approved
Male,No,Graduate,9196,58,0,Urban,Rejected
Male,Yes,Graduate,13559,215,1,Urban,Approved
Male,Yes,Graduate,5368,481,0,Rural,Rejected
Male,Yes,Graduate,5797,493,1,Rural,Approved
Male,No,Not Graduate,17114,368,1,Rural,Approved
Female,No,Graduate,15718,263,1,Rural,Approved
Female,No,Graduate,3792,166,1,Rural,Rejected
Male,No,Graduate,13053,435,0,Urban,Rejected
Female,Yes,Graduate,5476,393,1,Rural,Approved
Female,Yes,Graduate,5417,121,1,Urban,Approved
Female,No,Graduate,3645,444,1,Urban,Rejected
Female,Yes,Not Graduate,16755,113,1,Rural,Approved
Male,Yes,Not Graduate,5072,254,1,Rural,Approved
Female,No,Graduate,3854,258,1,Urban,Rejected
Male,Yes,Graduate,6662,121,0,Rural,Rejected
Female,No,Graduate,8514,326,0,Rural,Rejected
Female,Yes,Not Graduate,4708,323,1,Rural,Approved
Female,No,Graduate,13694,369,1,Semiurban,Approved
Male,No,Not Graduate,11524,387,1,Urban,Approved
Female,No,Graduate,8456,415,1,Semiurban,Approved
Male,No,Graduate,6212,144,1,Rural,Approved
Female,Yes,Graduate,15224,215,1,Semiurban,Approved
Male,No,Graduate,9970,81,0,Rural,Rejected
Female,No,Not Graduate,18920,60,1,Semiurban,Approved
Male,No,Not Graduate,3625,350,1,Rural,Rejected
Male,Yes,Graduate,12314,266,1,Semiurban,Approved
Female,No,Graduate,9973,338,1,Semiurban,Approved
Male,Yes,Not Graduate,10577,151,1,Semiurban,Approved
Female,No,Not Graduate,10070,474,1,Urban,Approved
Female,Yes,Not Graduate,10666,441,1,Semiurban,Approved
Female,Yes,Not Graduate,5600,316,1,Urban,Approved
Female,No,Graduate,8783,263,1,Rural,Approved
Female,Yes,Not Graduate,15226,228,1,Semiurban,Approved
Female,No,Graduate,11146,137,1,Rural,Approved
Female,No,Not Graduate,6971,90,1,Rural,Approved
Female,No,Not Graduate,15490,450,1,Semiurban,Approved
Female,Yes,Not Graduate,19589,125,1,Urban,Approved
Female,Yes,Not Graduate,14951,426,1,Semiurban,Approved
Female,No,Not Graduate,14312,95,1,Rural,Approved
Male,No,Graduate,3990,209,0,Rural,Rejected
Male,Yes,Graduate,7299,129,1,Semiurban,Approved
Female,No,Not Graduate,14997,359,1,Urban,Approved
Female,No,Not Graduate,15472,135,1,Urban,Approved
Female,No,Graduate,6380,141,1,Rural,Approved
Female,Yes,Not Graduate,6757,197,1,Rural,Approved
Female,Yes,Not Graduate,12395,210,1,Urban,Approved
Female,Yes,Graduate,18241,251,0,Semiurban,Rejected
Female,No,Not Graduate,7588,473,0,Rural,Rejected
Female,No,Not Graduate,19350,465,1,Urban,Approved
Male,No,Graduate,6944,291,1,Rural,Approved
Female,Yes,Graduate,15395,402,1,Semiurban,Approved
Male,No,Graduate,19072,51,1,Urban,Approved
Female,No,Not Graduate,6243,274,1,Rural,Approved
Female,No,Graduate,11916,338,1,Semiurban,Approved
Male,No,Graduate,11984,282,0,Rural,Rejected
Female,Yes,Graduate,3759,463,1,Semiurban,Rejected
Male,Yes,Graduate,11181,466,1,Semiurban,Approved
Female,No,Graduate,4482,126,1,Urban,Approved
Female,Yes,Graduate,2951,165,0,Semiurban,Rejected
Male,Yes,Not Graduate,4079,203,1,Rural,Approved
Female,No,Not Graduate,4717,455,1,Semiurban,Approved
Male,No,Graduate,11692,152,1,Semiurban,Approved
Female,Yes,Graduate,9311,243,0,Urban,Rejected
Male,No,Graduate,2768,215,1,Semiurban,Rejected
Male,Yes,Not Graduate,7490,408,1,Semiurban,Approved
Female,No,Not Graduate,17534,139,1,Rural,Approved
Female,Yes,Not Graduate,8645,223,1,Urban,Approved
Male,No,Not Graduate,7232,171,0,Urban,Rejected
Female,Yes,Not Graduate,13485,192,1,Urban,Approved
Female,Yes,Not Graduate,7797,155,0,Semiurban,Rejected
Female,Yes,Not Graduate,14342,424,1,Urban,Approved
Male,No,Not Graduate,10038,477,1,Semiurban,Approved
Male,Yes,Not Graduate,18002,354,1,Semiurban,Approved
Male,Yes,Graduate,15087,409,1,Rural,Approved
Male,No,Graduate,6873,366,0,Rural,Rejected
